+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;192;02.1.4.02.004;;    Contribuição Social S/lucro Presumido A Pagar;CSLPPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;193;02.1.4.02.005;;    Contribuição Social S/estimativa A Pagar;CSESTPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;194;02.1.4.03;T;   Impostos E Contribuições S/receitas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;195;02.1.4.03.001;;    Icms A Pagar;ICMSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;196;02.1.4.03.002;;    Cofins A Pagar;COFINSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;197;02.1.4.03.003;;    Pis A Pagar;PISPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;198;02.1.4.03.004;;    Ipi A Pagar;IPIPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;199;02.1.4.03.005;;    Contribuição Social A Pagar;CSLLPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;200;02.1.4.03.006;;    Simples A Pagar;SIMPLESPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;201;02.1.4.03.007;;    Issqn A Pagar;ISQNPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;202;02.1.4.03.008;;    Simples Nacional A Pagar;SNPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;203;02.1.4.03.009;;    Icms St A Pagar;ICMSSTPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;204;02.1.5;T;  Contas A Pagar;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;205;02.1.5.01;T;   Contas De Empresas Públicas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;206;02.1.5.01.001;;    Energia Elétrica;EE;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;207;02.1.5.01.002;;    Brasil Telecom S/a;TELESC;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;208;02.1.5.01.003;;    Água E Esgoto;AE;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;209;02.1.5.01.004;;    Embratel S/a;EMBRATEL;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;210;02.1.5.02;T;   Demais Contas A Pagar;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;211;02.1.5.02.001;;    Seguros A Pagar;SEGPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;212;02.1.5.02.002;;    Assinatura De Periódicos A Pagar;ASSJORNAISPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;213;02.1.5.02.003;;    Aluguel A Pagar;ALUPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;629;02.1.5.02.004;;    Parcelamento Inss;Parcelamento INSS;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;630;02.1.5.02.005;;    Parcelamento Fgts;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;631;02.1.5.02.006;;    Parcelamento Iss;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;632;02.1.5.02.007;;    Parcelamento Rfb;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;633;02.1.5.02.008;;    Parcelamento Simples Pgfn;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;668;02.1.5.02.009;;    Parcelamento Inss Pgfn;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;673;02.1.5.02.010;;    Consorcios A Pagar;CONSPGR;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;710;02.1.5.02.011;;    Desc. Emprest. Consig.;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;716;02.1.5.02.012;;    Parcelamento Rfb - Simples Nacional;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
