+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;86;01.2.1.03.001;;    Adicionais conversíveis créditos Eletrobrás;EMPCOMPELETROBRAS;Ativo;Balanço Patrimonial;;;;90132;Comum
;87;01.2.1.03.002;;    Créditos Eletrobrás;CREDELETROBRAS;Ativo;Balanço Patrimonial;;;;90132;Comum
;88;01.2.1.03.003;;    Juros sobre créditos Eletrobrás a receber;JRSELETROBRAS;Ativo;Balanço Patrimonial;;;;90132;Comum
;89;01.2.1.04;T;   EMPRÉSTIMOS A PESSOAS LIGADAS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;90;01.2.1.04.001;;    Empresa A S/A;EMPA;Ativo;Balanço Patrimonial;;;;90132;Comum
;693;01.2.1.04.002;;    Sócios C/C;;Ativo;Balanço Patrimonial;;;;90132;Comum
;91;01.2.1.05;T;   TITULOS DE CAPITALIZAÇÃO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;92;01.2.1.05.001;;    Ourocap - BB;;Ativo;Balanço Patrimonial;;;;90132;Comum
;93;01.2.2;T;  INVESTIMENTOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;94;01.2.2.01;T;   INVESTIMENTOS EM COLIGADAS E CONTROLADAS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;95;01.2.2.01.001;;    Empresa 1 S/A;EMP1;Ativo;Balanço Patrimonial;;;;90132;Comum
;698;01.2.2.01.002;;    CRT;;Ativo;Balanço Patrimonial;;;;90132;Comum
;695;01.2.2.02;T;   APLICAÇÕES FINANC DE RENDA VARIÁVEL;;Ativo;Balanço Patrimonial;;;;90132;Comum
;696;01.2.2.02.001;;    TÍTULOS DE CAPITALIZAÇÃO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;697;01.2.2.02.002;;    INTEGRALIZAÇAO DE CAPITAL SICREDI;;Ativo;Balanço Patrimonial;;;;90132;Comum
;96;01.2.3;T;  IMOBILIZADO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;97;01.2.3.01;T;   BENS E DIREITOS EM USO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;98;01.2.3.01.001;;    Máquinas e Equipamentos;MAQEQUIPS;Ativo;Balanço Patrimonial;;;;90132;Comum
;99;01.2.3.01.002;;    Móveis e Utensílios;MOVUTENS;Ativo;Balanço Patrimonial;;;;90132;Comum
;100;01.2.3.01.003;;    Ferramentas;FERRAM;Ativo;Balanço Patrimonial;;;;90132;Comum
;101;01.2.3.01.004;;    Imóveis;IMOVEIS;Ativo;Balanço Patrimonial;;;;90132;Comum
;102;01.2.3.01.005;;    Veículos;VEICULOS;Ativo;Balanço Patrimonial;;;;90132;Comum
;103;01.2.3.01.006;;    Computadores e periféricos;COMPUTADORES;Ativo;Balanço Patrimonial;;;;90132;Comum
;104;01.2.3.01.007;;    Direito de uso de linha telefônica;DUFONE;Ativo;Balanço Patrimonial;;;;90132;Comum
;105;01.2.3.01.008;;    Softwares;SOFT;Ativo;Balanço Patrimonial;;;;90132;Comum
;106;01.2.3.01.009;;    Marcas e patentes de invenção;MARCAS;Ativo;Balanço Patrimonial;;;;90132;Comum
;107;01.2.3.01.010;;    Benfeitorias em imóveis de terceiros;BENFEIT;Ativo;Balanço Patrimonial;;;;90132;Comum
;108;01.2.3.01.011;;    Reflorestamentos;;Ativo;Balanço Patrimonial;;;;90132;Comum
;109;01.2.3.01.012;;    Terrenos;;Ativo;Balanço Patrimonial;;;;90132;Comum
;110;01.2.3.01.013;;    Luminosos/Placas;;Ativo;Balanço Patrimonial;;;;90132;Comum
;622;01.2.3.01.014;;    Equipamentos disdáticos;;Ativo;Balanço Patrimonial;;;;90132;Comum
;666;01.2.3.01.015;;    Instalações;;Ativo;Balanço Patrimonial;;;;90132;Comum
;111;01.2.3.02;T;   BENS EM CONSTRUÇÃO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;112;01.2.3.02.001;;    Bens em construção;;Ativo;Balanço Patrimonial;;;;90132;Comum
;113;01.2.3.04;T;   PARTICIPAÇÃO EM CONSÓRCIOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;114;01.2.3.04.001;;    Consórcio;CONSORCIO;Ativo;Balanço Patrimonial;;;;90132;Comum
;115;01.2.3.05;T;   (-) DEPRECIAÇÃO ACUMULADA;;Ativo;Balanço Patrimonial;;;;90132;Comum
;116;01.2.3.05.001;;    (-) Máquinas e equipamentos;DEPRECMAQS;Ativo;Balanço Patrimonial;;;;90132;Comum
;117;01.2.3.05.002;;    (-) Móveis e Utensílios;DEPRECMOVEIS;Ativo;Balanço Patrimonial;;;;90132;Comum
;118;01.2.3.05.003;;    (-) Ferramentas;DEPRECFERRAM;Ativo;Balanço Patrimonial;;;;90132;Comum
;119;01.2.3.05.004;;    (-) Imóveis;DEPRECIMOV;Ativo;Balanço Patrimonial;;;;90132;Comum
;120;01.2.3.05.005;;    (-) Veículos;DEPRECVEIC;Ativo;Balanço Patrimonial;;;;90132;Comum
;121;01.2.3.05.006;;    (-) Computadores Periféricos;DEPRECCOMPUT;Ativo;Balanço Patrimonial;;;;90132;Comum
;122;01.2.3.05.007;;    (-) Luminosos/Placas;;Ativo;Balanço Patrimonial;;;;90132;Comum
;623;01.2.3.05.008;;    (-) Equipamentos Didáticos;;Ativo;Balanço Patrimonial;;;;90132;Comum
;667;01.2.3.05.009;;    (-) Instalações - Depreciação;;Ativo;Balanço Patrimonial;;;;90132;Comum
;123;01.2.4;T;  ATIVO INTANGÍVEL;;Ativo;Balanço Patrimonial;;;;90132;Comum
;124;01.2.4.01;T;   BENS DE NATUREZA INTANGÍVEL;;Ativo;Balanço Patrimonial;;;;90132;Comum
;125;01.2.4.01.001;;    Capital Intelectual;CAPINTEL;Ativo;Balanço Patrimonial;;;;90132;Comum
;126;01.2.4.01.002;;    Marcas e Patentes de Invenção;MARCPAT;Ativo;Balanço Patrimonial;;;;90132;Comum
;127;01.2.4.01.003;;    Fundo de Comércio;FUNCOM;Ativo;Balanço Patrimonial;;;;90132;Comum
;128;01.2.4.01.004;;    Concessões;CONCEC;Ativo;Balanço Patrimonial;;;;90132;Comum
;129;01.2.4.01.005;;    Direitos Autorais;DIRAUT;Ativo;Balanço Patrimonial;;;;90132;Comum
;130;01.2.4.01.006;;    Softwares ou Programas de Computador;SOFTPROGR;Ativo;Balanço Patrimonial;;;;90132;Comum
;131;01.2.4.01.007;;    Franquias;FRANQ;Ativo;Balanço Patrimonial;;;;90132;Comum
;132;01.2.4.02;T;   (-) AMORTIZAÇÃO ACUMULADA;;Ativo;Balanço Patrimonial;;;;90132;Comum
;133;01.2.4.02.001;;    (-) Capital Intelectual;AMORTMARCAS;Ativo;Balanço Patrimonial;;;;90132;Comum
;134;01.2.4.02.002;;    (-) Marcas Pat. de Invenção;AMORTIMOV3S;Ativo;Balanço Patrimonial;;;;90132;Comum
;135;01.2.4.02.003;;    (-) Fundo de Comércio;AMORTFUNDO;Ativo;Balanço Patrimonial;;;;90132;Comum
;136;01.2.4.02.004;;    (-) Concessões;AMORTCONCEC;Ativo;Balanço Patrimonial;;;;90132;Comum
;137;01.2.4.02.005;;    (-) Direitos Autorais;AMORTDIRAUT;Ativo;Balanço Patrimonial;;;;90132;Comum
;138;01.2.4.02.006;;    (-) Softwares;AMORTSOFTWARE;Ativo;Balanço Patrimonial;;;;90132;Comum
;139;01.2.4.02.007;;    (-) Franquias;AMORTFRANQ;Ativo;Balanço Patrimonial;;;;90132;Comum
;140;01.3;T; CONTAS DE COMPENSAÇÃO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;141;01.3.1;T;  CONTAS DE COMPENSAÇÃO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;142;01.3.1.01;T;   CONTAS DE COMPENSAÇÃO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;143;01.3.1.01.001;;    Contas de Compensação;;Ativo;Balanço Patrimonial;;;;90132;Comum
;144;02;T;PASSIVO;;Passivo;Balanço Patrimonial;;;;90132;Comum
;145;02.1;T; PASSIVO CIRCULANTE;;Passivo;Balanço Patrimonial;;;;90132;Comum
;146;02.1.1;T;  FORNECEDORES;;Passivo;Balanço Patrimonial;;;;90132;Comum
;147;02.1.1.01;T;   FORNECEDORES;;Passivo;Balanço Patrimonial;;;;90132;Comum
;148;02.1.1.01.001;;    Fornecedores;FD;Passivo;Balanço Patrimonial;;;;90132;Comum
;149;02.1.1.02;T;   FORNECEDORES;;Passivo;Balanço Patrimonial;;;;90132;Comum
;150;02.1.1.02.001;;    Fornecedores Diversos;FDV;Passivo;Balanço Patrimonial;;;;90132;Comum
;151;02.1.2;T;  EMPRÉSTIMOS E FINANCIAMENTOS;;Passivo;Balanço Patrimonial;;;;90132;Comum
;152;02.1.2.01;T;   EMPRÉSTIMOS E FINANCIAMENTOS BANCÁRIOS;;Passivo;Balanço Patrimonial;;;;90132;Comum
;153;02.1.2.01.001;;    Banco do Brasil S/A;EMPRBB;Passivo;Balanço Patrimonial;;;;90132;Comum
;154;02.1.2.01.002;;    Caixa Econômica Federal;EMPRCEF;Passivo;Balanço Patrimonial;;;;90132;Comum
;155;02.1.2.01.003;;    BNDES;;Passivo;Balanço Patrimonial;;;;90132;Comum
;711;02.1.2.01.004;;    BANRISUL;;Passivo;Balanço Patrimonial;;;;90132;Comum
;723;02.1.2.01.005;;    Bco HSBC;;Passivo;Balanço Patrimonial;;;;90132;Comum
